Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Screen_Width,Screen_Height,CPU_Brand,CPU_Frequency,Memory_Amount,Memory_Type,GPU_Brand
HP,Notebook,15.6,8,No OS,1.86,575.0,1920,1080,Intel,2.5,256000,SSD,Intel
Acer,Notebook,15.6,4,Windows 10,2.1,400.0,1366,768,AMD,3.0,500000,HDD,AMD
Asus,Ultrabook,14.0,16,Windows 10,1.3,1495.0,1920,1080,Intel,1.8,512000,SSD,Nvidia
Acer,Ultrabook,14.0,8,Windows 10,1.6,770.0,1920,1080,Intel,1.6,256000,SSD,Intel
HP,Notebook,15.6,4,No OS,1.86,393.9,1366,768,Intel,2.5,500000,HDD,Intel
HP,Notebook,15.6,4,No OS,1.86,344.99,1920,1080,Intel,2.0,500000,HDD,Intel
Dell,Notebook,15.6,4,Windows 10,2.2,498.9,1920,1080,Intel,2.0,256000,SSD,AMD
Dell,Notebook,15.6,8,Windows 10,2.2,745.0,1920,1080,Intel,2.7,256000,SSD,AMD
Lenovo,Notebook,15.6,8,No OS,2.2,499.0,1920,1080,Intel,2.4,1000000,HDD,Nvidia
Dell,Ultrabook,13.3,8,Windows 10,1.22,979.0,1920,1080,Intel,1.6,128000,SSD,Intel
Asus,Netbook,11.6,2,Windows 10,0.98,191.9,1366,768,Intel,1.44,32000,Flash,Intel
Lenovo,Gaming,15.6,8,Windows 10,2.5,999.0,1920,1080,Intel,2.5,128000,SSD,Nvidia
HP,Notebook,15.6,4,No OS,1.86,258.0,1366,768,AMD,1.5,500000,HDD,AMD
Dell,2in1_Convertible,13.3,8,Windows 10,1.62,819.0,1920,1080,Intel,1.6,256000,SSD,Intel
HP,Ultrabook,15.6,8,Windows 10,1.91,659.0,1920,1080,Intel,1.8,256000,SSD,Intel
Dell,Notebook,15.6,4,Windows 10,2.3,418.64,1366,768,Intel,2.0,1000000,HDD,Intel
Dell,Notebook,15.6,8,Windows 10,2.2,800.0,1920,1080,Intel,1.6,256000,SSD,AMD
Dell,Ultrabook,15.6,8,Windows 10,1.88,1298.0,1920,1080,Intel,1.9,256000,SSD,Intel
HP,Notebook,17.3,8,Windows 10,2.5,896.0,1920,1080,Intel,1.6,1000000,HDD,Nvidia
Asus,Notebook,14.0,2,Windows 10,1.65,199.0,1366,768,AMD,1.5,32000,Flash,AMD
HP,Notebook,17.3,4,Windows 10,2.71,439.0,1920,1080,AMD,2.5,500000,HDD,AMD
